LocalSKU	StockUOM	UnitWeightLb	Stowage	HistoricalBasis	Confidence	SourceCode	HazardClass	LabelTemplate	Notes
PRT-0130	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0038	EA	0.5		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0131	EA	0.6		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0039	EA	0.5		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0132	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
MAT-0020	EA	0.5		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0021	EA	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
PRT-0133	EA	0.4		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PKG-0007	EA	1		RECOVERED	MEDIUM	QAR-SUST		KIT-LABEL	
PKG-0008	EA	1.5		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
MAT-0022	EA	2		RECONSTRUCTED	MEDIUM	RECON	MEDICINE	STORES-LABEL	
MAT-0023	EA	3		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0024	EA	3		RECONSTRUCTED	MEDIUM	RECON	TOXIC	STORES-LABEL	
MAT-0025	EA	3		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
ASM-0040	EA	14		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0134	EA	7		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
LBL-0006	EA			FICTIONAL	N/A	FICTION	MEDICINE	MEDICAL-SEAL	
ASM-0041	EA	900		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0021	EA			RECONSTRUCTED	MEDIUM	QAR-SUST		KIT-LABEL	
KIT-0040	EA			RECONSTRUCTED	MEDIUM	QAR-SUST		KIT-LABEL	
KIT-0041	EA			RECONSTRUCTED	MEDIUM	QAR-SUST		KIT-LABEL	
OFT-0022	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0135	EA	95		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0136	EA	18		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0137	EA	24		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0138	EA	16		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0139	EA	3		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0140	EA	1.5		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0141	EA	2.5		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0142	EA	1.4		RECOVERED	MEDIUM	QAR-SUST		PART-ID	
PRT-0143	EA	1.1		RECOVERED	MEDIUM	QAR-SUST		PART-ID	
PRT-0144	EA	0.2		RECOVERED	MEDIUM	QAR-SUST		PART-ID	
PRT-0145	EA	0.8		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0146	EA	0.5		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0147	EA	3		RECOVERED	MEDIUM	QAR-SUST		PART-ID	
PRT-0148	EA	0.4		RECOVERED	MEDIUM	QAR-SUST		PART-ID	
PRT-0149	EA	2		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0150	EA	5		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PKG-0009	EA	58		RECOVERED	MEDIUM	QAR-STOR		KIT-LABEL	
PKG-0010	EA	42		RECOVERED	MEDIUM	QAR-STOR		KIT-LABEL	
PKG-0011	EA	38		RECOVERED	MEDIUM	QAR-STOR		KIT-LABEL	
PKG-0012	EA	2		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PKG-0013	EA	12		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PKG-0014	EA	8		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
MAT-0026	GAL	8.34		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0027	GAL	7.8		RECONSTRUCTED	MEDIUM	RECON	FLAMMABLE	STORES-LABEL	
MAT-0028	GAL	8.4		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0029	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0030	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0031	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0032	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0033	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0034	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0035	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0036	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0037	LB	1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
MAT-0038	GAL	7.6		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
LBL-0007	EA			FICTIONAL	N/A	FICTION		PROVISION-CASK	
LBL-0008	EA			FICTIONAL	N/A	FICTION	FLAMMABLE	PROVISION-CASK	
LBL-0009	EA			FICTIONAL	N/A	FICTION		PROVISION-CASK	
LBL-0010	EA			FICTIONAL	N/A	FICTION		PROVISION-CASK	
ASM-0042	EA	475		RECONSTRUCTED	MEDIUM	QAR-STOR		PROVISION-CASK	
ASM-0043	EA	448		RECONSTRUCTED	MEDIUM	QAR-STOR	FLAMMABLE	PROVISION-CASK	
ASM-0044	EA	248		RECONSTRUCTED	MEDIUM	QAR-STOR		PROVISION-CASK	
ASM-0045	EA	142		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0046	EA	242		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0047	EA	242		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0048	EA	142		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0049	EA	52		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0050	EA	52		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0051	EA	62		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0052	EA	33		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0053	EA	52		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
ASM-0054	EA	228		RECONSTRUCTED	MEDIUM	RECON		PROVISION-CASK	
KIT-0042	EA			RECONSTRUCTED	MEDIUM	QAR-PERS		KIT-LABEL	
OFT-0023	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0055	EA	11		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0151	EA	6		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PKG-0015	EA	2		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0152	EA	0.8		RECONSTRUCTED	MEDIUM	QAR-SUST		PART-ID	
PRT-0153	EA	0.5		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0043	EA	9		RECONSTRUCTED	MEDIUM	QAR-PERS		KIT-LABEL	
KIT-0044	EA	3		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
LBL-0011	EA			FICTIONAL	N/A	FICTION		CREW-ISSUE	
QAR-0054	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0045	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0056	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0057	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0058	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0059	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0060	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PKG-0016	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
MAT-0039	EA			RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
DOC-0002	EA			FICTIONAL	N/A	FICTION		PART-ID	Fictional reconstruction record that playfully mirrors the Buildbooks use case.
DOC-0003	EA			RECONSTRUCTED	MEDIUM	RECON		PART-ID	
MAT-0040	EA	0.1		RECONSTRUCTED	MEDIUM	RECON		STORES-LABEL	
KIT-0046	EA	8		RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
ASM-0061	EA	10		RECOVERED	MEDIUM	QAR-TOOLS		KIT-LABEL	
OFT-0024	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0025	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
OFT-0026	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0154	EA	5		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
ASM-0062	EA	95		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PRT-0155	EA	7		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
PRT-0156	EA	12		RECONSTRUCTED	MEDIUM	RECON		PART-ID	
KIT-0047	EA	45		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
ASM-0063	EA	180		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
KIT-0048	EA			RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
PKG-0017	EA	25		RECONSTRUCTED	MEDIUM	RECON		KIT-LABEL	
LBL-0012	EA			FICTIONAL	N/A	FICTION	FIRE	EMERGENCY	
LBL-0013	EA			FICTIONAL	N/A	FICTION		EMERGENCY	
LBL-0014	EA			FICTIONAL	N/A	FICTION		LABEL-STOCK	
LBL-0015	EA			FICTIONAL	N/A	FICTION		INSPECTION	
LBL-0016	EA			FICTIONAL	N/A	FICTION		LABEL-STOCK	
LBL-0017	EA			FICTIONAL	N/A	FICTION		LABEL-STOCK	
LBL-0018	EA			FICTIONAL	N/A	FICTION		HOLD-TAG	
LBL-0019	EA			FICTIONAL	N/A	FICTION		APPROVAL	
MAT-0041	SHEET	0.08		FICTIONAL	N/A	FICTION		STORES-LABEL	
MAT-0042	EA	0.01		FICTIONAL	N/A	FICTION		STORES-LABEL	
